Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
6,"ANT-51",1703084618,"20 déc. 2023 (mer.) 10:03:38","KSS pré-prétest"
6,"ANT-51",1703084669,"20 déc. 2023 (mer.) 10:04:29","OSPAN prétest"
6,"ANT-51",1703085885,"20 déc. 2023 (mer.) 10:24:45","KSS mid-prétest"
6,"ANT-51",1703085920,"20 déc. 2023 (mer.) 10:25:20","ANT prétest"
6,"ANT-51",1703086441,"20 déc. 2023 (mer.) 10:34:01","KSS post-prétest"
6,"ANT-51",1703086469,"20 déc. 2023 (mer.) 10:34:29","AX-CPT"
6,"ANT-51",1703087211,"20 déc. 2023 (mer.) 10:46:51","KSS1"
6,"ANT-51",1703087707,"20 déc. 2023 (mer.) 10:55:07","KSS2"
6,"ANT-51",1703088256,"20 déc. 2023 (mer.) 11:04:16","KSS3"
6,"ANT-51",1703088376,"20 déc. 2023 (mer.) 11:06:16","Intervention nature"
6,"ANT-51",1703088848,"20 déc. 2023 (mer.) 11:14:08","KSS4"
6,"ANT-51",1703089266,"20 déc. 2023 (mer.) 11:21:06","KSS5"
6,"ANT-51",1703089281,"20 déc. 2023 (mer.) 11:21:21","OSPAN posttest"
6,"ANT-51",1703090309,"20 déc. 2023 (mer.) 11:38:29","KSS mid-posttest"
6,"ANT-51",1703090334,"20 déc. 2023 (mer.) 11:38:54","ANT posttest"
6,"ANT-51",1703090841,"20 déc. 2023 (mer.) 11:47:21","KSS post-posttest"
