Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
11,"ANT-55",1707747141,"12 févr. 2024 (lun.) 09:12:21","KSS pré-prétest"
11,"ANT-55",1707747172,"12 févr. 2024 (lun.) 09:12:52","OSPAN prétest"
11,"ANT-55",1707748407,"12 févr. 2024 (lun.) 09:33:27","KSS mid-prétest"
11,"ANT-55",1707748453,"12 févr. 2024 (lun.) 09:34:13","ANT prétest"
11,"ANT-55",1707749001,"12 févr. 2024 (lun.) 09:43:21","KSS post-prétest"
11,"ANT-55",1707749035,"12 févr. 2024 (lun.) 09:43:55","ax CPT "
11,"ANT-55",1707749770,"12 févr. 2024 (lun.) 09:56:10","KSS1"
11,"ANT-55",1707750267,"12 févr. 2024 (lun.) 10:04:27","KSS 2"
11,"ANT-55",1707750748,"12 févr. 2024 (lun.) 10:12:28","KSS 3"
11,"ANT-55",1707750830,"12 févr. 2024 (lun.) 10:13:50","intervention nature"
11,"ANT-55",1707751687,"12 févr. 2024 (lun.) 10:28:07","KSS 5"
11,"ANT-55",1707751732,"12 févr. 2024 (lun.) 10:28:52","ANT posttest"
11,"ANT-55",1707752258,"12 févr. 2024 (lun.) 10:37:38","KSS midposttest"
11,"ANT-55",1707752321,"12 févr. 2024 (lun.) 10:38:41","OSPAN posttest"
11,"ANT-55",1707753324,"12 févr. 2024 (lun.) 10:55:24","KSS post-posttest"
