Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
1,"ant-7",1669299713,"24 nov. 2022 (jeu.) 09:21:53","kss_pre_pretest"
1,"ant-7",1669299764,"24 nov. 2022 (jeu.) 09:22:44","ospan_pretest"
1,"ant-7",1669300974,"24 nov. 2022 (jeu.) 09:42:54","KSS_post_pretest"
1,"ant-7",1669301016,"24 nov. 2022 (jeu.) 09:43:36","ant_pretest"
1,"ant-7",1669301590,"24 nov. 2022 (jeu.) 09:53:10","kss_post_pretest"
1,"ant-7",1669301621,"24 nov. 2022 (jeu.) 09:53:41","ax_cpt"
1,"ant-7",1669302362,"24 nov. 2022 (jeu.) 10:06:02","kss1"
1,"ant-7",1669302862,"24 nov. 2022 (jeu.) 10:14:22","kss2"
1,"ant-7",1669303347,"24 nov. 2022 (jeu.) 10:22:27","kss3"
1,"ant-7",1669303399,"24 nov. 2022 (jeu.) 10:23:19","intervention_nature"
1,"ant-7",1669303961,"24 nov. 2022 (jeu.) 10:32:41","kss4"
1,"ant-7",1669304395,"24 nov. 2022 (jeu.) 10:39:55","kss5"
1,"ant-7",1669304425,"24 nov. 2022 (jeu.) 10:40:25","ant-postest"
1,"ant-7",1669304955,"24 nov. 2022 (jeu.) 10:49:15","kss_mid_postest"
1,"ant-7",1669304993,"24 nov. 2022 (jeu.) 10:49:53","ospan_postest"
1,"ant-7",1669305884,"24 nov. 2022 (jeu.) 11:04:44","kss_post_postest"
