Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
10,"ant-21",1674853471,"27 janv. 2023 (ven.) 16:04:31","kss_prepretest"
10,"ant-21",1674853506,"27 janv. 2023 (ven.) 16:05:06","ant_pretest"
10,"ant-21",1674854033,"27 janv. 2023 (ven.) 16:13:53","kss_midpretest"
10,"ant-21",1674854068,"27 janv. 2023 (ven.) 16:14:28","ospan_pretest"
10,"ant-21",1674855179,"27 janv. 2023 (ven.) 16:32:59","kss_postpretest"
10,"ant-21",1674855208,"27 janv. 2023 (ven.) 16:33:28","ax-cpt"
10,"ant-21",1674855924,"27 janv. 2023 (ven.) 16:45:24","kss1"
10,"ant-21",1674856409,"27 janv. 2023 (ven.) 16:53:29","kss2"
10,"ant-21",1674856901,"27 janv. 2023 (ven.) 17:01:41","kss3"
10,"ant-21",1674856940,"27 janv. 2023 (ven.) 17:02:20","intervention_nature"
10,"ant-21",1674857430,"27 janv. 2023 (ven.) 17:10:30","kss4"
10,"ant-21",1674857851,"27 janv. 2023 (ven.) 17:17:31","kss5"
10,"ant-21",1674857885,"27 janv. 2023 (ven.) 17:18:05","ospan_posttest"
10,"ant-21",1674858757,"27 janv. 2023 (ven.) 17:32:37","kss_midposttest"
10,"ant-21",1674858786,"27 janv. 2023 (ven.) 17:33:06","ant_posttest"
10,"ant-21",1674859294,"27 janv. 2023 (ven.) 17:41:34","kss_posttest"
