Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
3,"ant-13",1669821730,"30 nov. 2022 (mer.) 10:22:10","ospan_pretest"
3,"ant-13",1669821775,"30 nov. 2022 (mer.) 10:22:55","kss_mid_pretest"
3,"ant-13",1669822300,"30 nov. 2022 (mer.) 10:31:40","ant-pretest"
3,"ant-13",1669822346,"30 nov. 2022 (mer.) 10:32:26","kss_pre_pretest"
3,"ant-13",1669823416,"30 nov. 2022 (mer.) 10:50:16","kss_post_pretest"
3,"ant-13",1669823451,"30 nov. 2022 (mer.) 10:50:51","ax-cpt"
3,"ant-13",1669824179,"30 nov. 2022 (mer.) 11:02:59","kss1"
3,"ant-13",1669824665,"30 nov. 2022 (mer.) 11:11:05","kss2"
3,"ant-13",1669825147,"30 nov. 2022 (mer.) 11:19:07","kss3"
3,"ant-13",1669825197,"30 nov. 2022 (mer.) 11:19:57","intervention_nature"
3,"ant-13",1669825679,"30 nov. 2022 (mer.) 11:27:59","kss4"
3,"ant-13",1669826104,"30 nov. 2022 (mer.) 11:35:04","kss5"
3,"ant-13",1669826137,"30 nov. 2022 (mer.) 11:35:37","ospan_postest"
3,"ant-13",1669826994,"30 nov. 2022 (mer.) 11:49:54","kss_mid_postest"
3,"ant-13",1669827031,"30 nov. 2022 (mer.) 11:50:31","ant_postest"
3,"ant-13",1669827531,"30 nov. 2022 (mer.) 11:58:51","kss_post_poetest"
