Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
6,"ant-17",1670249691,"5 déc. 2022 (lun.) 09:14:51","kss_pre_pretest"
6,"ant-17",1670249740,"5 déc. 2022 (lun.) 09:15:40","ant_pretest"
6,"ant-17",1670250267,"5 déc. 2022 (lun.) 09:24:27","kss_mid_pretest"
6,"ant-17",1670250301,"5 déc. 2022 (lun.) 09:25:01","ospan_pretest"
6,"ant-17",1670251584,"5 déc. 2022 (lun.) 09:46:24","kss_post_pretest"
6,"ant-17",1670251617,"5 déc. 2022 (lun.) 09:46:57","ax-cpt"
6,"ant-17",1670252377,"5 déc. 2022 (lun.) 09:59:37","kss1"
6,"ant-17",1670252892,"5 déc. 2022 (lun.) 10:08:12","kss2"
6,"ant-17",1670253417,"5 déc. 2022 (lun.) 10:16:57","kss3"
6,"ant-17",1670253512,"5 déc. 2022 (lun.) 10:18:32","intervention_nature "
6,"ant-17",1670254470,"5 déc. 2022 (lun.) 10:34:30","kss5"
6,"ant-17",1670254504,"5 déc. 2022 (lun.) 10:35:04","ant_postest"
6,"ant-17",1670255010,"5 déc. 2022 (lun.) 10:43:30","kss_mid_postest"
6,"ant-17",1670255041,"5 déc. 2022 (lun.) 10:44:01","ospan_postest"
6,"ant-17",1670255996,"5 déc. 2022 (lun.) 10:59:56","kss_post_postest"
