Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
7,"ANT-52",1703689996,"27 déc. 2023 (mer.) 10:13:16","KSS pré-prétest"
7,"ANT-52",1703690055,"27 déc. 2023 (mer.) 10:14:15","OSPAN prétest"
7,"ANT-52",1703691217,"27 déc. 2023 (mer.) 10:33:37","KSS mid-prétest"
7,"ANT-52",1703691248,"27 déc. 2023 (mer.) 10:34:08","ANT prétest"
7,"ANT-52",1703691886,"27 déc. 2023 (mer.) 10:44:46","KSS post-prétest"
7,"ANT-52",1703691913,"27 déc. 2023 (mer.) 10:45:13","AX-CPT"
7,"ANT-52",1703692683,"27 déc. 2023 (mer.) 10:58:03","KSS1"
7,"ANT-52",1703693180,"27 déc. 2023 (mer.) 11:06:20","KSS2"
7,"ANT-52",1703693661,"27 déc. 2023 (mer.) 11:14:21","KSS3"
7,"ANT-52",1703693708,"27 déc. 2023 (mer.) 11:15:08","intervention urbaine"
7,"ANT-52",1703694223,"27 déc. 2023 (mer.) 11:23:43","KSS4"
7,"ANT-52",1703694623,"27 déc. 2023 (mer.) 11:30:23","KSS5"
7,"ANT-52",1703694682,"27 déc. 2023 (mer.) 11:31:22","OSPAN posttest"
7,"ANT-52",1703695590,"27 déc. 2023 (mer.) 11:46:30","KSS mid-posttest"
7,"ANT-52",1703695619,"27 déc. 2023 (mer.) 11:46:59","ANT posttest"
7,"ANT-52",1703696138,"27 déc. 2023 (mer.) 11:55:38","KSS post-posttest"
