Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
2,"ant-8",1669326157,"24 nov. 2022 (jeu.) 16:42:37","kss_mid_pretest"
2,"ant-8",1669326204,"24 nov. 2022 (jeu.) 16:43:24","ant_pretest"
2,"ant-8",1669326753,"24 nov. 2022 (jeu.) 16:52:33","kss_post_pretest"
2,"ant-8",1669326800,"24 nov. 2022 (jeu.) 16:53:20","ax-cpt"
2,"ant-8",1669327553,"24 nov. 2022 (jeu.) 17:05:53","kss1"
2,"ant-8",1669328096,"24 nov. 2022 (jeu.) 17:14:56","kss2"
2,"ant-8",1669328875,"24 nov. 2022 (jeu.) 17:27:55","intervention_urbain"
2,"ant-8",1669329470,"24 nov. 2022 (jeu.) 17:37:50","kss4"
2,"ant-8",1669329949,"24 nov. 2022 (jeu.) 17:45:49","kss5"
2,"ant-8",1669329986,"24 nov. 2022 (jeu.) 17:46:26","ant_posttest"
2,"ant-8",1669330519,"24 nov. 2022 (jeu.) 17:55:19","kss_mid_posttest"
2,"ant-8",1669330566,"24 nov. 2022 (jeu.) 17:56:06","ospan_postest"
2,"ant-8",1669331697,"24 nov. 2022 (jeu.) 18:14:57",""
