Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
7,"ant-18",1674580185,"24 janv. 2023 (mar.) 12:09:45","kss_pre_pretest"
7,"ant-18",1674580232,"24 janv. 2023 (mar.) 12:10:32","ant_pretest"
7,"ant-18",1674580770,"24 janv. 2023 (mar.) 12:19:30","kss_mid_pretest"
7,"ant-18",1674580802,"24 janv. 2023 (mar.) 12:20:02","ospan_pretest"
7,"ant-18",1674581877,"24 janv. 2023 (mar.) 12:37:57","kss_post_pretest"
7,"ant-18",1674581911,"24 janv. 2023 (mar.) 12:38:31","ax_cpt"
7,"ant-18",1674582638,"24 janv. 2023 (mar.) 12:50:38","kss1"
7,"ant-18",1674583124,"24 janv. 2023 (mar.) 12:58:44","kss2"
7,"ant-18",1674583606,"24 janv. 2023 (mar.) 13:06:46","kss3"
7,"ant-18",1674583666,"24 janv. 2023 (mar.) 13:07:46","intervention_urbain"
7,"ant-18",1674584149,"24 janv. 2023 (mar.) 13:15:49","kss4"
7,"ant-18",1674584566,"24 janv. 2023 (mar.) 13:22:46","kss5"
7,"ant-18",1674584601,"24 janv. 2023 (mar.) 13:23:21","ant_posttest"
7,"ant-18",1674585118,"24 janv. 2023 (mar.) 13:31:58","kss_mid_posttest"
7,"ant-18",1674585153,"24 janv. 2023 (mar.) 13:32:33","ospan_posttest"
7,"ant-18",1674586074,"24 janv. 2023 (mar.) 13:47:54","kss_post_posttest"
