Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
9,"ant-20",1674827794,"27 janv. 2023 (ven.) 08:56:34","kss_prepretest"
9,"ant-20",1674827835,"27 janv. 2023 (ven.) 08:57:15","ospan_pretest"
9,"ant-20",1674829316,"27 janv. 2023 (ven.) 09:21:56","kss_mid_pretest"
9,"ant-20",1674829382,"27 janv. 2023 (ven.) 09:23:02","ant_pretest"
9,"ant-20",1674829913,"27 janv. 2023 (ven.) 09:31:53","kss_postpretest"
9,"ant-20",1674829952,"27 janv. 2023 (ven.) 09:32:32","ax-cpt"
9,"ant-20",1674830668,"27 janv. 2023 (ven.) 09:44:28","kss1"
9,"ant-20",1674831145,"27 janv. 2023 (ven.) 09:52:25","kss2"
9,"ant-20",1674831626,"27 janv. 2023 (ven.) 10:00:26","kss3"
9,"ant-20",1674831674,"27 janv. 2023 (ven.) 10:01:14","intervention_urbaine"
9,"ant-20",1674832637,"27 janv. 2023 (ven.) 10:17:17","kss5"
9,"ant-20",1674832672,"27 janv. 2023 (ven.) 10:17:52","ospan_postest"
9,"ant-20",1674833470,"27 janv. 2023 (ven.) 10:31:10","kss_midposttest"
9,"ant-20",1674833504,"27 janv. 2023 (ven.) 10:31:44","ant_posttest"
9,"ant-20",1674833999,"27 janv. 2023 (ven.) 10:39:59","kss_posttest"
